year,average_temperature
1743,6.65
1744,12.41
1745,5.46
1746,
1747,
1748,
1749,
1750,12.01
1751,12.71
1752,7.07
1753,11.47
1754,11.49
1755,11.17
1756,11.50
1757,11.34
1758,10.24
1759,11.35
1760,10.92
1761,11.53
1762,11.43
1763,10.79
1764,11.46
1765,11.48
1766,11.34
1767,11.45
1768,10.77
1769,11.23
1770,11.08
1771,11.57
1772,12.18
1773,11.15
1774,11.79
1775,11.93
1776,11.43
1777,11.27
1778,11.62
1779,11.80
1780,12.21
1781,11.85
1782,10.84
1783,11.40
1784,11.15
1785,10.95
1786,11.36
1787,11.51
1788,11.98
1789,10.72
1790,11.57
1791,11.59
1792,11.58
1793,11.57
1794,11.46
1795,11.56
1796,11.36
1797,11.19
1798,11.53
1799,11.02
1800,11.95
1801,11.74
1802,11.90
1803,11.61
1804,12.06
1805,11.10
1806,11.74
1807,11.13
1808,10.47
1809,10.65
1810,10.40
1811,10.84
1812,10.43
1813,10.66
1814,10.26
1815,10.85
1816,10.20
1817,11.37
1818,11.67
1819,11.02
1820,10.83
1821,11.67
1822,11.67
1823,11.08
1824,11.43
1825,11.62
1826,11.34
1827,11.22
1828,11.65
1829,10.77
1830,11.31
1831,11.65
1832,11.15
1833,11.07
1834,12.09
1835,10.98
1836,11.11
1837,11.09
1838,11.23
1839,11.16
1840,10.96
1841,11.23
1842,11.17
1843,11.41
1844,11.23
1845,10.83
1846,11.85
1847,11.30
1848,10.97
1849,11.30
1850,11.40
1851,11.01
1852,11.84
1853,10.42
1854,11.19
1855,10.61
1856,11.87
1857,11.34
1858,11.74
1859,11.25
1860,10.57
1861,11.27
1862,11.29
1863,11.19
1864,11.49
1865,11.40
1866,11.41
1867,11.61
1868,11.84
1869,11.34
1870,11.70
1871,11.10
1872,11.31
1873,11.25
1874,11.60
1875,11.63
1876,11.69
1877,11.51
1878,11.57
1879,10.98
1880,11.12
1881,11.91
1882,11.17
1883,10.59
1884,10.78
1885,10.59
1886,10.99
1887,10.71
1888,10.44
1889,10.35
1890,10.54
1891,10.73
1892,11.25
1893,11.87
1894,10.87
1895,11.81
1896,10.50
1897,12.04
1898,11.53
1899,12.50
1900,11.54
1901,10.84
1902,11.08
1903,11.13
1904,11.76
1905,10.85
1906,11.26
1907,11.24
1908,11.57
1909,10.90
1910,10.82
1911,11.16
1912,10.95
1913,11.36
1914,11.18
1915,11.32
1916,11.21
1917,10.63
1918,11.12
1919,11.03
1920,11.82
1921,11.66
1922,11.14
1923,11.31
1924,11.57
1925,10.72
1926,12.13
1927,11.54
1928,11.76
1929,11.85
1930,11.79
1931,11.48
1932,10.91
1933,11.49
1934,11.36
1935,11.27
1936,11.17
1937,12.03
1938,11.93
1939,11.23
1940,11.53
1941,11.10
1942,11.63
1943,12.11
1944,11.26
1945,12.56
1946,11.10
1947,12.38
1948,12.49
1949,12.43
1950,12.17
1951,11.15
1952,11.50
1953,11.76
1954,11.29
1955,12.45
1956,10.34
1957,11.30
1958,11.80
1959,11.80
1960,11.57
1961,12.60
1962,11.70
1963,11.20
1964,11.97
1965,11.55
1966,11.79
1967,11.50
1968,11.85
1969,10.94
1970,11.61
1971,10.83
1972,10.65
1973,11.22
1974,11.07
1975,11.14
1976,11.31
1977,11.30
1978,11.53
1979,11.72
1980,11.42
1981,12.10
1982,12.05
1983,11.98
1984,11.05
1985,12.04
1986,11.65
1987,12.36
1988,11.83
1989,13.04
1990,12.68
1991,11.92
1992,11.89
1993,11.12
1994,12.45
1995,12.99
1996,11.96
1997,13.02
1998,12.40
1999,12.09
2000,12.20
2001,12.33
2002,12.52
2003,12.92
2004,12.17
2005,12.26
2006,13.06
2007,11.89
2008,11.92
2009,12.96
2010,12.01
2011,13.28
2012,12.33
2013,12.68
